t,x,y,z,vx,vy,vz
1628700.0,-2646.766300394161,-3289.9696903412346,6048.019309658229,-5.068159757813636,-3.2795867414289046,-4.000631210851811
1629000.0,-4027.4695470778133,-4113.565011135618,4597.165058392418,-4.067003043217544,-2.169116846554542,-5.600872765366472
1629300.0,-5049.574794814696,-4570.9748549691385,2736.409711248395,-2.692899409212882,-0.8546012442153805,-6.7129318918836125
1629600.0,-5616.516051117195,-4616.477154892063,628.9707538951108,-1.052801975651749,0.5579002983166592,-7.230629931564685
1629900.0,-5668.046074040266,-4238.47785028495,-1535.633520233168,0.7186150068066438,1.94767077085857,-7.086676222303653
1630200.0,-5187.914884264068,-3463.0696675093127,-3555.018736313291,2.4639046566983454,3.1855386801245733,-6.264665677823921
1630500.0,-4209.336342623812,-2355.121734564795,-5231.0102630511265,4.0129648105022,4.1442708291054915,-4.810788853277384
1630800.0,-2816.48719277007,-1015.61800006402,-6389.672206967951,5.199337014544081,4.713002944544741,-2.841040408896541
1631100.0,-1140.307789367521,425.74418169883467,-6902.279011092588,5.881595215241659,4.8140340758890865,-0.5395839889369025
1631400.0,652.5115060830523,1822.963474638943,-6703.962162885297,5.966572009161862,4.418697019739088,1.8555514122963381
1631700.0,2377.117581372572,3030.204842504491,-5806.06489927493,5.429052092486222,3.5578585321999214,4.079883882779856
1632000.0,3852.759640252914,3920.104155375832,-4298.598743601183,4.322237130566641,2.322966223359339,5.880312936779682
1632300.0,4926.068975279978,4400.557100867978,-2340.660630305138,2.7733479097575784,0.8547146750065151,7.0557819786410905
1632600.0,5490.576724956174,4426.352592621045,-139.668602525835,0.9632963067551348,-0.6793773888277556,7.48919607100692
1632900.0,5498.311767753954,4003.118527128482,2076.36421816827,-0.9044564790337952,-2.112458551368816,7.1607096818968685
1633200.0,4961.6520521687235,3183.327046545671,4087.27051557483,-2.6358753660069763,-3.302403105426559,6.139580054267122
1633500.0,3946.667490698354,2056.420100378159,5704.259434878546,-4.070026570771089,-4.146386339274631,4.56119243196757
1633800.0,2561.1247047102897,736.1734734909218,6785.601650746693,-5.0908523599370525,-4.584931201139052,2.5994217524625878
1634100.0,940.6073694422536,-651.9334451102446,7244.44448725395,-5.6285732657066765,-4.598536255341318,0.4429024885062077
1634400.0,-764.8260848195678,-1981.766550448327,7050.644351698986,-5.655588277825574,-4.201235380661228,-1.720978033376737
1634700.0,-2402.496205447159,-3135.663631540616,6228.8412111895395,-5.181185150599488,-3.434584065607174,-3.7155731690046334
1635000.0,-3827.488234676803,-4011.9783662887794,4854.328506251988,-4.247313437714284,-2.36322765783583,-5.380581998968184
1635300.0,-4912.099847909978,-4531.578886081709,3047.460304407887,-2.926585749059378,-1.072274432742894,-6.5768239810838915
